region;district;section_num;court_name;address;postal_index;coordinates
Республика Дагестан;;;Мировой судья судебного участка Гавриловского района Тамбовской области;393160, Тамбовская обл, с Гавриловка 2-я, ул Советская, д 27;;
Республика Дагестан;;;Мировой судья судебного участка Жердевского района и г. Жердевка Тамбовской области;393670, Тамбовская обл, г Жердевка, ул Семашко, д 1А;;
Республика Дагестан;;;Мировой судья судебного участка Знаменского района Тамбовской области;393400, Тамбовская обл, рп Знаменка, ул Парковая, д 13;;
Республика Дагестан;;;Мировой судья судебного участка Инжавинского района Тамбовской области;393310, Тамбовская обл, рп Инжавино, ул Ленинская, д 54А;;
Республика Дагестан;;;Мировой судья судебного участка Мордовского района Тамбовской области;393600, Тамбовская обл, рп Мордово, ул Коммунальная, д 37;;
Республика Дагестан;;;Мировой судья судебного участка Мучкапского района Тамбовской области;393570, Тамбовская обл, рп Мучкапский, ул Красная, стр 50;;
Республика Дагестан;;;Мировой судья судебного участка Никифоровского района Тамбовской области;393000, Тамбовская обл, рп Дмитриевка, ул Центральная, д 1;;
Республика Дагестан;;;Мировой судья судебного участка Первомайского района Тамбовской области;393700, Тамбовская обл, рп Первомайский, ул Советская, д 209А;;
Республика Дагестан;;;Мировой судья судебного участка Петровского района Тамбовской области;393070, Тамбовская обл, с Петровское, ул Советская, д 78А;;
Республика Дагестан;;;Мировой судья судебного участка Пичаевского района Тамбовской области;393970, Тамбовская обл, с Пичаево, ул Пролетарская, д 14;;
Республика Дагестан;;;Мировой судья судебного участка Ржаксинского района Тамбовской области;393520, Тамбовская обл, рп Ржакса, ул Советская, д 78;;
Республика Дагестан;;;Мировой судья судебного участка Сампурского района Тамбовской области;393430, Тамбовская обл, п Сатинка, ул Садовая, д 14А;;
Республика Дагестан;;;Мировой судья судебного участка Староюрьевского района Тамбовской области;393800, Тамбовская обл, с Староюрьево, ул Советская, д 88;;
Республика Дагестан;;;Мировой судья судебного участка Токаревского района Тамбовской области;393550, Тамбовская обл, рп Токарёвка, ул Маяковского, д 1А;;
Республика Дагестан;;;Мировой судья судебного участка Уметского района Тамбовской области;393130, Тамбовская обл, рп Умет, ул Мира, д 12А;;
Республика Дагестан;;1;Мировой судья судебного участка № 1 г. Котовска Тамбовской области;393190, Тамбовская обл, г Котовск, ул Свободы, д 25;;
Республика Дагестан;;1;Мировой судья судебного участка № 1 г. Мичуринска Тамбовской области;393749, Тамбовская обл, Мичуринский р-н, с Заворонежское, ул Лесхозная, зд 8А;;
Республика Дагестан;;1;Мировой судья судебного участка № 1 Кирсановского района и г. Кирсанова Тамбовской области;393360, Тамбовская обл, г Кирсанов, ул 50 лет Победы, д 18А;;
Республика Дагестан;;1;Мировой судья судебного участка № 1 Мичуринского района Тамбовской области;393749, Тамбовская обл, Мичуринский р-н, с Заворонежское, ул Советская, д 113;;
Республика Ингушетия;;;Мировой судья судебного участка Бондарского района Тамбовской области;393230, Тамбовская обл, с Бондари, ул Пароваткина, д 1;;
Республика Ингушетия;;;Мировой судья судебного участка Гавриловского района Тамбовской области;393160, Тамбовская обл, с Гавриловка 2-я, ул Советская, д 27;;
Республика Ингушетия;;;Мировой судья судебного участка Жердевского района и г. Жердевка Тамбовской области;393670, Тамбовская обл, г Жердевка, ул Семашко, д 1А;;
Республика Ингушетия;;;Мировой судья судебного участка Знаменского района Тамбовской области;393400, Тамбовская обл, рп Знаменка, ул Парковая, д 13;;
Республика Ингушетия;;;Мировой судья судебного участка Инжавинского района Тамбовской области;393310, Тамбовская обл, рп Инжавино, ул Ленинская, д 54А;;
Республика Ингушетия;;;Мировой судья судебного участка Мордовского района Тамбовской области;393600, Тамбовская обл, рп Мордово, ул Коммунальная, д 37;;
Республика Ингушетия;;;Мировой судья судебного участка Мучкапского района Тамбовской области;393570, Тамбовская обл, рп Мучкапский, ул Красная, стр 50;;
Республика Ингушетия;;;Мировой судья судебного участка Никифоровского района Тамбовской области;393000, Тамбовская обл, рп Дмитриевка, ул Центральная, д 1;;
Республика Ингушетия;;;Мировой судья судебного участка Первомайского района Тамбовской области;393700, Тамбовская обл, рп Первомайский, ул Советская, д 209А;;
Республика Ингушетия;;;Мировой судья судебного участка Петровского района Тамбовской области;393070, Тамбовская обл, с Петровское, ул Советская, д 78А;;
Республика Ингушетия;;;Мировой судья судебного участка Пичаевского района Тамбовской области;393970, Тамбовская обл, с Пичаево, ул Пролетарская, д 14;;
Республика Ингушетия;;;Мировой судья судебного участка Ржаксинского района Тамбовской области;393520, Тамбовская обл, рп Ржакса, ул Советская, д 78;;
Республика Ингушетия;;;Мировой судья судебного участка Сампурского района Тамбовской области;393430, Тамбовская обл, п Сатинка, ул Садовая, д 14А;;
Республика Ингушетия;;;Мировой судья судебного участка Староюрьевского района Тамбовской области;393800, Тамбовская обл, с Староюрьево, ул Советская, д 88;;
Республика Ингушетия;;;Мировой судья судебного участка Токаревского района Тамбовской области;393550, Тамбовская обл, рп Токарёвка, ул Маяковского, д 1А;;
Республика Ингушетия;;;Мировой судья судебного участка Уметского района Тамбовской области;393130, Тамбовская обл, рп Умет, ул Мира, д 12А;;
Республика Ингушетия;;1;Мировой судья судебного участка № 1 г. Котовска Тамбовской области;393190, Тамбовская обл, г Котовск, ул Свободы, д 25;;
Республика Ингушетия;;1;Мировой судья судебного участка № 1 г. Мичуринска Тамбовской области;393749, Тамбовская обл, Мичуринский р-н, с Заворонежское, ул Лесхозная, зд 8А;;
Республика Ингушетия;;1;Мировой судья судебного участка № 1 Кирсановского района и г. Кирсанова Тамбовской области;393360, Тамбовская обл, г Кирсанов, ул 50 лет Победы, д 18А;;
Республика Ингушетия;;1;Мировой судья судебного участка № 1 Мичуринского района Тамбовской области;393749, Тамбовская обл, Мичуринский р-н, с Заворонежское, ул Советская, д 113;;
Кабардино-Балкарская Республика;;;Мировой судья судебного участка Бондарского района Тамбовской области;393230, Тамбовская обл, с Бондари, ул Пароваткина, д 1;;
Кабардино-Балкарская Республика;;;Мировой судья судебного участка Гавриловского района Тамбовской области;393160, Тамбовская обл, с Гавриловка 2-я, ул Советская, д 27;;
Кабардино-Балкарская Республика;;;Мировой судья судебного участка Жердевского района и г. Жердевка Тамбовской области;393670, Тамбовская обл, г Жердевка, ул Семашко, д 1А;;
Кабардино-Балкарская Республика;;;Мировой судья судебного участка Знаменского района Тамбовской области;393400, Тамбовская обл, рп Знаменка, ул Парковая, д 13;;
Кабардино-Балкарская Республика;;;Мировой судья судебного участка Инжавинского района Тамбовской области;393310, Тамбовская обл, рп Инжавино, ул Ленинская, д 54А;;
Кабардино-Балкарская Республика;;;Мировой судья судебного участка Мордовского района Тамбовской области;393600, Тамбовская обл, рп Мордово, ул Коммунальная, д 37;;
Кабардино-Балкарская Республика;;;Мировой судья судебного участка Мучкапского района Тамбовской области;393570, Тамбовская обл, рп Мучкапский, ул Красная, стр 50;;
Кабардино-Балкарская Республика;;;Мировой судья судебного участка Никифоровского района Тамбовской области;393000, Тамбовская обл, рп Дмитриевка, ул Центральная, д 1;;
Кабардино-Балкарская Республика;;;Мировой судья судебного участка Первомайского района Тамбовской области;393700, Тамбовская обл, рп Первомайский, ул Советская, д 209А;;
Кабардино-Балкарская Республика;;;Мировой судья судебного участка Петровского района Тамбовской области;393070, Тамбовская обл, с Петровское, ул Советская, д 78А;;
Кабардино-Балкарская Республика;;;Мировой судья судебного участка Пичаевского района Тамбовской области;393970, Тамбовская обл, с Пичаево, ул Пролетарская, д 14;;
Кабардино-Балкарская Республика;;;Мировой судья судебного участка Ржаксинского района Тамбовской области;393520, Тамбовская обл, рп Ржакса, ул Советская, д 78;;
Кабардино-Балкарская Республика;;;Мировой судья судебного участка Сампурского района Тамбовской области;393430, Тамбовская обл, п Сатинка, ул Садовая, д 14А;;
Кабардино-Балкарская Республика;;;Мировой судья судебного участка Староюрьевского района Тамбовской области;393800, Тамбовская обл, с Староюрьево, ул Советская, д 88;;
Кабардино-Балкарская Республика;;;Мировой судья судебного участка Токаревского района Тамбовской области;393550, Тамбовская обл, рп Токарёвка, ул Маяковского, д 1А;;
Кабардино-Балкарская Республика;;;Мировой судья судебного участка Уметского района Тамбовской области;393130, Тамбовская обл, рп Умет, ул Мира, д 12А;;
Кабардино-Балкарская Республика;;1;Мировой судья судебного участка № 1 г. Котовска Тамбовской области;393190, Тамбовская обл, г Котовск, ул Свободы, д 25;;
Кабардино-Балкарская Республика;;1;Мировой судья судебного участка № 1 г. Мичуринска Тамбовской области;393749, Тамбовская обл, Мичуринский р-н, с Заворонежское, ул Лесхозная, зд 8А;;
Кабардино-Балкарская Республика;;1;Мировой судья судебного участка № 1 Кирсановского района и г. Кирсанова Тамбовской области;393360, Тамбовская обл, г Кирсанов, ул 50 лет Победы, д 18А;;
Кабардино-Балкарская Республика;;1;Мировой судья судебного участка № 1 Мичуринского района Тамбовской области;393749, Тамбовская обл, Мичуринский р-н, с Заворонежское, ул Советская, д 113;;
Республика Калмыкия;;;Мировой судья судебного участка Бондарского района Тамбовской области;393230, Тамбовская обл, с Бондари, ул Пароваткина, д 1;;
Республика Калмыкия;;;Мировой судья судебного участка Гавриловского района Тамбовской области;393160, Тамбовская обл, с Гавриловка 2-я, ул Советская, д 27;;
Республика Калмыкия;;;Мировой судья судебного участка Жердевского района и г. Жердевка Тамбовской области;393670, Тамбовская обл, г Жердевка, ул Семашко, д 1А;;
Республика Калмыкия;;;Мировой судья судебного участка Знаменского района Тамбовской области;393400, Тамбовская обл, рп Знаменка, ул Парковая, д 13;;
Республика Калмыкия;;;Мировой судья судебного участка Инжавинского района Тамбовской области;393310, Тамбовская обл, рп Инжавино, ул Ленинская, д 54А;;
Республика Калмыкия;;;Мировой судья судебного участка Мордовского района Тамбовской области;393600, Тамбовская обл, рп Мордово, ул Коммунальная, д 37;;
Республика Калмыкия;;;Мировой судья судебного участка Мучкапского района Тамбовской области;393570, Тамбовская обл, рп Мучкапский, ул Красная, стр 50;;
Республика Калмыкия;;;Мировой судья судебного участка Никифоровского района Тамбовской области;393000, Тамбовская обл, рп Дмитриевка, ул Центральная, д 1;;
Республика Калмыкия;;;Мировой судья судебного участка Первомайского района Тамбовской области;393700, Тамбовская обл, рп Первомайский, ул Советская, д 209А;;
Республика Калмыкия;;;Мировой судья судебного участка Петровского района Тамбовской области;393070, Тамбовская обл, с Петровское, ул Советская, д 78А;;
Республика Калмыкия;;;Мировой судья судебного участка Пичаевского района Тамбовской области;393970, Тамбовская обл, с Пичаево, ул Пролетарская, д 14;;
Республика Калмыкия;;;Мировой судья судебного участка Ржаксинского района Тамбовской области;393520, Тамбовская обл, рп Ржакса, ул Советская, д 78;;
Республика Калмыкия;;;Мировой судья судебного участка Сампурского района Тамбовской области;393430, Тамбовская обл, п Сатинка, ул Садовая, д 14А;;
Республика Калмыкия;;;Мировой судья судебного участка Староюрьевского района Тамбовской области;393800, Тамбовская обл, с Староюрьево, ул Советская, д 88;;
Республика Калмыкия;;;Мировой судья судебного участка Токаревского района Тамбовской области;393550, Тамбовская обл, рп Токарёвка, ул Маяковского, д 1А;;
Республика Калмыкия;;;Мировой судья судебного участка Уметского района Тамбовской области;393130, Тамбовская обл, рп Умет, ул Мира, д 12А;;
Республика Калмыкия;;1;Мировой судья судебного участка № 1 г. Котовска Тамбовской области;393190, Тамбовская обл, г Котовск, ул Свободы, д 25;;
Республика Калмыкия;;1;Мировой судья судебного участка № 1 г. Мичуринска Тамбовской области;393749, Тамбовская обл, Мичуринский р-н, с Заворонежское, ул Лесхозная, зд 8А;;
Республика Калмыкия;;1;Мировой судья судебного участка № 1 Кирсановского района и г. Кирсанова Тамбовской области;393360, Тамбовская обл, г Кирсанов, ул 50 лет Победы, д 18А;;
Республика Калмыкия;;1;Мировой судья судебного участка № 1 Мичуринского района Тамбовской области;393749, Тамбовская обл, Мичуринский р-н, с Заворонежское, ул Советская, д 113;;
Республика Карачаево-Черкесия;;;Мировой судья судебного участка Бондарского района Тамбовской области;393230, Тамбовская обл, с Бондари, ул Пароваткина, д 1;;
Республика Карачаево-Черкесия;;;Мировой судья судебного участка Гавриловского района Тамбовской области;393160, Тамбовская обл, с Гавриловка 2-я, ул Советская, д 27;;
