section_num,court_name,judge_name,phone,email,site_url,address,work_schedule
14,Судебный участок мирового судьи № 1 Канавинского судебного района г.Н.Новгорода,Хут Артур Бачирович,+7 831 241-55-17,kanav_1@msud.nnov.ru,http://kanav1.nnov.msudrf.ru,"Советская ул., д.13 г. Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
15,Судебный участок мирового судьи № 4 Канавинского судебного  района г.Н.Новгорода,Сохраннова Раиса Аркадьевна,+7 831 241-42-15,kanav_4@msud.nnov.ru,http://kanav4.nnov.msudrf.ru,"Гордеевская ул., д.42-а г. Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
16,Судебный участок мирового судьи № 6 Канавинского судебного  района г.Н.Новгорода,Савинова Ольга Александровна,+7 831 241-54-64,kanav_6@msud.nnov.ru,http://kanav6.nnov.msudrf.ru,"Гордеевская ул., д.42-а г. Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
17,Судебный участок мирового судьи № 2 Канавинского судебного района г.Н.Новгорода,,+7 831 246-05-01,kanav_2@msud.nnov.ru,http://kanav2.nnov.msudrf.ru,"Советская ул., д.13 г. Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
18,Судебный участок мирового судьи № 3 Канавинского судебного района г.Н.Новгорода,Галкина Ольга Николаевна,+7 831 246-84-27,kanav_3@msud.nnov.ru,http://kanav3.nnov.msudrf.ru,"Советская ул., д.13 г. Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
19,Судебный участок мирового судьи № 5 Канавинского судебного  района г.Н.Новгорода,Евтюшкин Александр Юрьевич,+7 831 246-10-76,kanav_5@msud.nnov.ru,http://kanav5.nnov.msudrf.ru,"Советская ул., д.13 г. Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
20,Судебный участок мирового судьи № 8 Канавинского судебного района г.Н.Новгорода,Жиделева Олеся Алексеевна,+7 831 246-84-75,kanav_8@msud.nnov.ru,http://kanav8.nnov.msudrf.ru,"Советская ул., д.13 г. Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
21,Судебный участок мирового судьи № 9 Канавинского судебного  района г.Н.Новгорода,Дмитриева Елена Сергеевна,+7 831 246-05-34,kanav_9@msud.nnov.ru,,"Советская ул., д.16 г. Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
22,Судебный участок мирового судьи № 7 Канавинского судебного района г.Н.Новгорода,Дремлюга Алексей Михайлович,+7 831 229-22-43,kanav_7@msud.nnov.ru,http://kanav7.nnov.msudrf.ru,"Камчатский пер., д.5 г. Н. Новгород, 603950","8.00-17.00, обед 12.00-13.00"
23,Судебный участок мирового судьи № 1 Ленинского судебного района г.Н.Новгорода,Картомин Дмитрий Вадимович,+7 831 250-88-68,lenin_1@msud.nnov.ru,http://lenin1.nnov.msudrf.ru,"Памирская ул., д.13 г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
24,Судебный участок мирового судьи № 2 Ленинского судебного района г.Н.Новгорода,,+7 831 250-85-64,lenin_2@msud.nnov.ru,http://lenin2.nnov.msudrf.ru,"Памирская ул., д.13 г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
25,Судебный участок мирового судьи № 3 Ленинского судебного района г.Н.Новгорода,Вениаминов Петр Владимирович,+7 831 250-74-34,lenin_3@msud.nnov.ru,http://lenin3.nnov.msudrf.ru,"Памирская ул., д.13 г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
26,Судебный участок мирового судьи № 4 Ленинского судебного района г.Н.Новгорода,Кретов Андрей Юрьевич,+7 831 250-91-16,lenin_4@msud.nnov.ru,http://lenin4.nnov.msudrf.ru,"Памирская ул., д.13 г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
27,Судебный участок мирового судьи № 5 Ленинского судебного района г.Н.Новгорода,Пшеницын Сергей Константинович,+7 831 250-88-18,lenin_5@msud.nnov.ru,http://lenin5.nnov.msudrf.ru,"Памирская ул., д.13 г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
28,Судебный участок мирового судьи № 6 Ленинского судебного района г.Н.Новгорода,Краснова Екатерина Сергеевна,+7 831 250-88-63,lenin_6@msud.nnov.ru,http://lenin6.nnov.msudrf.ru,"Памирская ул., д.13 г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
29,Судебный участок мирового судьи № 7 Ленинского судебного района г.Н.Новгорода,Плахотнюк Сергей Михайлович,+7 831 250-85-44,lenin_7@msud.nnov.ru,http://lenin7.nnov.msudrf.ru,"Памирская ул., д.13 г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
30,Судебный участок мирового судьи № 1 Нижегородского судебного района г.Н.Новгорода,Шевченко Орест Александрович,+7 831 430-64-20,nizheg_1@msud.nnov.ru,http://nizh1.nnov.msudrf.ru,"Рождественская ул., д.19 г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
31,Судебный участок мирового судьи № 2 Нижегородского судебного района г.Н.Новгорода,Ремизов Владимир Владимирович,+7 831 430-25-04,nizheg_2@msud.nnov.ru,http://nizh2.nnov.msudrf.ru,"Рождественская ул., д.19 г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
32,Судебный участок мирового судьи № 4 Нижегородского судебного  района г.Н.Новгорода,Кулешов Роман Александрович,+7 831 431-36-92,nizheg_4@msud.nnov.ru,http://nizh3.nnov.msudrf.ru,"Рождественская ул., д.19 г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
33,Судебный участок мирового судьи № 6 Нижегородского судебного  района г.Н.Новгорода,Галдина Оксана Александровна,+7 831 437-35-69,nizheg_6@msud.nnov.ru,http://nizh4.nnov.msudrf.ru,"Рождественская ул., д.19 г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
34,Судебный участок мирового судьи № 8 Нижегородского судебного  района г.Н.Новгорода,Аракелов Даниэль Артурович,+7 831 433-29-29,nizheg_8@msud.nnov.ru,,"Рождественская ул., д.18 г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
35,Судебный участок мирового судьи № 3 Нижегородского судебного района г.Н.Новгорода,Малахов Сергей Сергеевич,+7 831 430-42-34,nizheg_3@msud.nnov.ru,http://nizh5.nnov.msudrf.ru,"Рождественская ул., д.21-е г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
36,Судебный участок мирового судьи № 5 Нижегородского судебного района г.Н.Новгорода,Кириллов Андрей Александрович,+7 831 278-82-94,nizheg_5@msud.nnov.ru,http://nizh6.nnov.msudrf.ru,"Верхнепечерская ул., д.15, корп.1 помещение 1 г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
37,Судебный участок мирового судьи № 7 Нижегородского судебного района г.Н.Новгорода,Силантьев Александр Анатольевич,+7 831 278-82-93,nizheg_7@msud.nnov.ru,http://nizh7.nnov.msudrf.ru,"Верхнепечерская ул., д.15, корп.1 помещение 1 г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
38,Судебный участок мирового судьи № 1 Московского судебного района г.Н.Новгорода,Константинова Юлия Викторовна,+7 831 270-43-74,mosk_1@msud.nnov.ru,http://mosk1.nnov.msudrf.ru,"Рябцева ул., д.29 г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
39,Судебный участок мирового судьи № 2 Московского судебного  района г.Н.Новгорода,Кулагин Илья Александрович,+7 831 270-77-84,mosk_2@msud.nnov.ru,http://mosk2.nnov.msudrf.ru,"Гастелло ул., д.1 г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
40,Судебный участок мирового судьи № 3 Московского судебного района г.Н.Новгорода,Сохина Ольга Юрьевна,+7 831 270-42-40,mosk_3@msud.nnov.ru,http://mosk3.nnov.msudrf.ru,"Гастелло ул., д.1 г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
41,Судебный участок мирового судьи № 7 Московского судебного района г.Н.Новгорода,Землянигина Светлана Владимировна,+7 831 270-37-22,mosk_7@msud.nnov.ru,http://mosk7.nnov.msudrf.ru,"Гастелло ул., д.1 г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
42,Судебный участок мирового судьи № 4 Московского судебного района г.Н.Новгорода,Малинина Ирина Александровна,+7 831 270-84-98,mosk_4@msud.nnov.ru,http://mosk4.nnov.msudrf.ru,"Красных Зорь ул., д.14 г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
43,Судебный участок мирового судьи № 6 Московского судебного района г.Н.Новгорода,Кутузова Елена Владимировна,+7 831 270-78-64,mosk_6@msud.nnov.ru,http://mosk6.nnov.msudrf.ru,"Красных Зорь ул., д.14 г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
44,Судебный участок мирового судьи № 5 Московского судебного района г.Н.Новгорода,Удалова Мария Сергеевна,+7 831 270-57-47,mosk_5@msud.nnov.ru,http://mosk5.nnov.msudrf.ru,"Гастелло ул., д.1 г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
45,Судебный участок мирового судьи № 1 Приокского судебного района г.Н.Новгорода,Федорова Жанна Сергеевна,+7 831 465-14-58,priok_1@msud.nnov.ru,http://priok1.nnov.msudrf.ru,"Анкудиновское ш., д.32 г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
46,Судебный участок мирового судьи № 2 Приокского судебного района г.Н.Новгорода,Лифанова Евгения Викторовна,+7 831 465-67-72,priok_2@msud.nnov.ru,http://priok2.nnov.msudrf.ru,"Анкудиновское ш., д.32 г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
47,Судебный участок мирового судьи № 3 Приокского судебного  района г.Н.Новгорода,Быков Дмитрий Александрович,+7 831 422-68-35,priok_3@msud.nnov.ru,http://priok3.nnov.msudrf.ru,"Анкудиновское ш., д.32 г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
48,Судебный участок мирового судьи № 4 Приокского судебного района г.Н.Новгорода,Глова Андрей Дмитриевич,+7 831 466-42-28,priok_4@msud.nnov.ru,http://priok4.nnov.msudrf.ru,"Петровского ул., д.23 г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
49,Судебный участок мирового судьи № 5 Приокского судебного района г.Н.Новгорода,Киселева Светлана Борисовна,+7 831 466-84-79,priok_5@msud.nnov.ru,http://priok5.nnov.msudrf.ru,"Петровского ул., д.23 г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
50,Судебный участок мирового судьи № 1 Советского судебного  района г.Н.Новгорода,Грачева Анастасия Николаевна,+7 831 439-39-41,sovet_1@msud.nnov.ru,http://sovet1.nnov.msudrf.ru,"Пушкина ул., д.29-а г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
51,Судебный участок мирового судьи № 2 Советского судебного  района г.Н.Новгорода,Махлейдт Вадим Владимирович,+7 831 439-55-70,sovet_2@msud.nnov.ru,http://sovet2.nnov.msudrf.ru,"Пушкина ул., д.29-а г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
52,Судебный участок мирового судьи № 5 Советского судебного  района г.Н.Новгорода,Ткаченко Олег Владимирович,+7 831 439-53-27,sovet_5@msud.nnov.ru,http://sovet3.nnov.msudrf.ru,"Пушкина ул., д.29-а г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
53,Судебный участок мирового судьи № 6 Советского судебного района г.Н.Новгорода,Мустафаев Исмаил Мирзоевич,+7 831 434-50-04,sovet_6@msud.nnov.ru,http://sovet4.nnov.msudrf.ru,"Пушкина ул., д.29-а г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
54,Судебный участок мирового судьи № 3 Советского судебного  района г.Н.Новгорода,Ясникова Анастасия Вадимовна,+7 831 417-38-14,sovet_3@msud.nnov.ru,http://sovet5.nnov.msudrf.ru,"Козицкого ул., д.1, кор1. г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
55,Судебный участок мирового судьи № 4 Советского судебного района г.Н.Новгорода,Гордеева Нелли Александровна,+7 831 417-10-57,sovet_4@msud.nnov.ru,http://sovet6.nnov.msudrf.ru,"Козицкого ул., д.1, кор1. г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
56,Судебный участок мирового судьи № 7 Советского судебного района г.Н.Новгорода,Заплатина Марина Михайловна,+7 831 417-37-57,sovet_7@msud.nnov.ru,http://sovet7.nnov.msudrf.ru,"Козицкого ул., д.1, кор1. г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
57,Судебный участок мирового судьи № 1 Сормовского судебного района г.Н.Новгорода,Бакулин Алексей Викторович,+7 831 227-38-77,sormov_1@msud.nnov.ru,http://sormov1.nnov.msudrf.ru,"Василия Иванова ул.,56-а г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
58,Судебный участок мирового судьи № 2 Сормовского судебного  района г.Н.Новгорода,Захаров Александр Андреевич,+7 831 226-64-66,sormov_2@msud.nnov.ru,http://sormov2.nnov.msudrf.ru,"Василия Иванова ул.,56-а г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
59,Судебный участок мирового судьи № 3 Сормовского судебного  района г.Н.Новгорода,Усынкина Алевтина Алексеевна,+7 831 271-92-64,sormov_3@msud.nnov.ru,http://sormov3.nnov.msudrf.ru,"Василия Иванова ул.,56-а г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
60,Судебный участок мирового судьи № 4 Сормовского судебного  района г.Н.Новгорода,Ионова Оксана Юрьевна,+7 831 226-21-07,sormov_4@msud.nnov.ru,http://sormov4.nnov.msudrf.ru,"Василия Иванова ул.,56-а г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
61,Судебный участок мирового судьи № 5 Сормовского судебного района г.Н.Новгорода,Султанов Тахир Рашидович,+7 831 271-92-95,sormov_5@msud.nnov.ru,http://sormov5.nnov.msudrf.ru,"Василия Иванова ул.,56-а г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
62,Судебный участок мирового судьи № 6 Сормовского судебного района г.Н.Новгорода,Сальников Сергей Павлович,+7 831 271-18-18,sormov_6@msud.nnov.ru,http://sormov6.nnov.msudrf.ru,"Василия Иванова ул.,56-а г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
63,Судебный участок мирового судьи № 7 Сормовского судебного  района г.Н.Новгорода,Шиханов Александр Борисович,+7 831 271-92-61,sormov_7@msud.nnov.ru,http://sormov7.nnov.msudrf.ru,"Василия Иванова ул.,56-а г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
64,Судебный участок мирового судьи № 8 Сормовского судебного района г.Н.Новгорода,Нибусин Артем Сергеевич,+7 831 271-30-03,sormov_8@msud.nnov.ru,http://sormov8.nnov.msudrf.ru,"Василия Иванова ул.,56-а г.Н.Новгород, 603950","8.00-17.00, обед 12.00-13.00"
65,Судебный участок мирового судьи № 1 Ардатовского судебного района Нижегородской области,Мялкин Дмитрий Александрович,+7 83179 5 07 92,ardat_1@msud.nnov.ru,http://ard1.nnov.msudrf.ru,"Свердлова ул., д.14 п.Ардатов, 607130","8.00-17.00, обед 12.00-13.00"
66,Судебный участок мирового судьи № 2 Ардатовского судебного района Нижегородской области,Кандина Наталья Евгеньевна,+7 83179 5-16-05,ardat_2@msud.nnov.ru,http://ard2.nnov.msudrf.ru,"Свердлова ул., д.14 п.Ардатов, 607130","8.00-17.00, обед 12.00-13.00"
67,Судебный участок мирового судьи № 1 Арзамасского судебного  района и г. Арзамас Нижегородской области,Сердюкова Екатерина Евгеньевна,+7 83147 9-16-49,arzam_1@msud.nnov.ru,http://arz1.nnov.msudrf.ru,"Солнечная ул., д.10-б г.Арзамас, 607220","8.00-17.00, обед 12.00-13.00"
68,Судебный участок мирового судьи № 2 Арзамасского судебного района и г. Арзамас Нижегородской области,Федотова Людмила Юрьевна,+7 83147 9-18-17,arzam_2@msud.nnov.ru,http://arz2.nnov.msudrf.ru,"Солнечная ул., д.10-б г.Арзамас, 607220","8.00-17.00, обед 12.00-13.00"
69,Судебный участок мирового судьи № 3 Арзамасского судебного района и г. Арзамас Нижегородской области,Гущина Ирина Анатольевна,+7 83147 2-53-54,arzam_3@msud.nnov.ru,http://arz3.nnov.msudrf.ru,"Солнечная ул., д.10-б г.Арзамас, 607220","8.00-17.00, обед 12.00-13.00"
70,Судебный участок мирового судьи № 4 Арзамасского судебного района и г. Арзамас Нижегородской области,Романцова Татьяна Ивановна,+7 83147 2-63-03,arzam_4@msud.nnov.ru,http://arz4.nnov.msudrf.ru,"Солнечная ул., д.10-б г.Арзамас, 607220","8.00-17.00, обед 12.00-13.00"
71,Судебный участок мирового судьи № 5 Арзамасского судебного района и г. Арзамас Нижегородской области,Дубикова Анна Леонидовна,+7 83147 2-56-03,arzam_5@msud.nnov.ru,http://arz5.nnov.msudrf.ru,"Солнечная ул., д.10-б г.Арзамас, 607220","8.00-17.00, обед 12.00-13.00"
72,Судебный участок мирового судьи № 6 Арзамасского судебного района и г. Арзамас Нижегородской области,Каракулькина Светлана Николаевна,+7 83147 2-57-78,arzam_6@msud.nnov.ru,http://arz6.nnov.msudrf.ru,"Солнечная ул., д.10-б г.Арзамас, 607220","8.00-17.00, обед 12.00-13.00"
73,Судебный участок мирового судьи № 7 Арзамасского судебного района и г. Арзамас Нижегородской области,Фокин Евгений Владимирович,+7 83147 2-56-68,arzam_7@msud.nnov.ru,http://arz7.nnov.msudrf.ru,"Солнечная ул., д.10-б г.Арзамас, 607220","8.00-17.00, обед 12.00-13.00"
74,Судебный участок мирового судьи № 1 Балахнинского судебного района Нижегородской области,Филатова Елена Валентиновна,+7 83144 6-50-37,balah_1@msud.nnov.ru,http://balah1.nnov.msudrf.ru,"Ленина ул., д.11 г.Балахна, 606400","8.00-17.00, обед 12.00-13.00"
75,Судебный участок мирового судьи № 2 Балахнинского судебного района Нижегородской области,Ростовщикова Алена Алексеевна,+7 83144 6-50-31,balah_2@msud.nnov.ru,http://balah2.nnov.msudrf.ru,"Ленина ул., д.11 г.Балахна, 606400","8.00-17.00, обед 12.00-13.00"
76,Судебный участок мирового судьи № 3 Балахнинского судебного  района Нижегородской области,Раков Сергей Сергеевич,+7 83144 6-50-36,balah_3@msud.nnov.ru,http://balah3.nnov.msudrf.ru,"Ленина ул., д.11 г.Балахна, 606400","8.00-17.00, обед 12.00-13.00"
77,Судебный участок мирового судьи № 4 Балахнинского судебного района Нижегородской области,Галанин Евгений Николаевич,+7 83144 6-50-34,balah_4@msud.nnov.ru,http://balah4.nnov.msudrf.ru,"Ленина ул., д.11 г.Балахна, 606400","8.00-17.00, обед 12.00-13.00"
78,Судебный участок мирового судьи № 1 Богородского судебного района Нижегородской области,Шевчук Елена Николаевна,+7 83170 3 04 95,bogor_1@msud.nnov.ru,http://bogor1.nnov.msudrf.ru,"Ленина ул., д.176 г.Богородск, 607600","8.00-17.00, обед 12.00-13.00"
79,Судебный участок мирового судьи № 2 Богородского судебного района Нижегородской области,Меднова Светлана Евгеньевна,+7 83170 2 03 02,bogor_2@msud.nnov.ru,http://bogor2.nnov.msudrf.ru,"Ленина ул., д.176 г.Богородск, 607600","8.00-17.00, обед 12.00-13.00"
80,Судебный участок мирового судьи № 3 Богородского судебного района Нижегородской области,Шабаршова Екатерина Николаена,+7 83170 2-00-99,bogor_3@msud.nnov.ru,http://bogor3.nnov.msudrf.ru,"Ленина ул., д.176 г.Богородск, 607600","8.00-17.00, обед 12.00-13.00"
81,Судебный участок мирового судьи № 4 Богородского судебного района Нижегородской области,Денисова Анна Сергеевна,+7 83170 2-41-48,bogor_4@msud.nnov.ru,http://bogor4.nnov.msudrf.ru,"Ленина ул., д.176 г.Богородск, 607600","8.00-17.00, обед 12.00-13.00"
82,Судебный участок мирового судьи Большеболдинского судебного района Нижегородской области,Ким Яна Игоревна,+7 83138 2-24-63,bbol_1@msud.nnov.ru,http://bbold.nnov.msudrf.ru,"Пушкинская ул., д.6 с.Б.Болдино, 607940","8.00-17.00, обед 12.00-13.00"
83,Судебный участок мирового судьи Большемурашкинского судебного  района Нижегородской области,Музалева Ольга Николаевна,+7 83167 5-28-90,bmur_1@msud.nnov.ru,http://bmur.nnov.msudrf.ru,"Свободы ул., д.62 р.п.Б.Мурашкино, 606360","8.00-17.00, обед 12.00-13.00"
84,Судебный участок мирового судьи № 1  Борского судебного района Нижегородской области,Прохорова Наталья Викторовна,+7 83159 9-97-09,bor_1@msud.nnov.ru,http://bor1.nnov.msudrf.ru,"Профсоюзная ул., д.10 г.Бор, 606440","8.00-17.00, обед 12.00-13.00"
85,Судебный участок мирового судьи № 2  Борского судебного района Нижегородской области,Гордеева Татьяна Викторовна,+7 83159 2-20-92,bor_2@msud.nnov.ru,http://bor2.nnov.msudrf.ru,"Профсоюзная ул., д.10 г.Бор, 606440","8.00-17.00, обед 12.00-13.00"
86,Судебный участок мирового судьи № 3  Борского судебного района Нижегородской области,Иванов Алексей Валерьевич,+7 83159 2-13-30,bor_3@msud.nnov.ru,http://bor3.nnov.msudrf.ru,"Профсоюзная ул., д.10 г.Бор, 606440","8.00-17.00, обед 12.00-13.00"
87,Судебный участок мирового судьи № 4  Борского судебного района Нижегородской области,Добриян Наталья Васильевна,+7 83159 2-32-91,bor_4@msud.nnov.ru,http://bor4.nnov.msudrf.ru,"Профсоюзная ул., д.10 г.Бор, 606440","8.00-17.00, обед 12.00-13.00"
88,Судебный участок мирового судьи № 5 Борского судебного района Нижегородской области,Думова Алла Викторовна,+7 83159 2-39-60,bor_5@msud.nnov.ru,http://bor5.nnov.msudrf.ru,"Профсоюзная ул., д.10 г.Бор, 606440","8.00-17.00, обед 12.00-13.00"
89,Судебный участок мирового судьи № 6  Борского судебного района Нижегородской области,Смирнов Дмитрий Александрович,+7 83159 9-95-10,bor_6@msud.nnov.ru,http://bor6.nnov.msudrf.ru,"Профсоюзная ул., д.10 г.Бор, 606440","8.00-17.00, обед 12.00-13.00"
90,Судебный участок мирового судьи № 7 Борского судебного района Нижегородской области,Каримов Айдар Ханафиевич,+7 83159 9-96-00,bor_7@msud.nnov.ru,http://bor7.nnov.msudrf.ru,"Профсоюзная ул., д.10 г.Бор, 606440","8.00-17.00, обед 12.00-13.00"
91,Судебный участок мирового судьи Бутурлинского судебного района Нижегородской области,Мирасанов Михаил Евгеньевич,+7 83172 5-27-58,butur_1@msud.nnov.ru,http://butur1.nnov.msudrf.ru,"Спортивная ул., д.5 р.п.Бутурлино, 607440","8.00-17.00, обед 12.00-13.00"
92,Судебный участок мирового судьи Вадского судебного района Нижегородской области,Крылова Майя Евгеньевна,+7 83140 4-37-10,vad_1@msud.nnov.ru,http://vad.nnov.msudrf.ru,"1 мая ул., д.39-А с.Вад, 606380","8.00-17.00, обед 12.00-13.00"
93,Судебный участок мирового судьи Варнавинского судебного района Нижегородской области,Лацплес Мальвина Олеговна,+7 83158 3-56-56,varn_1@msud.nnov.ru,http://varnav.nnov.msudrf.ru,"Комсомольская ул., д.32-Б р п.Варнавино, 606760","8.00-17.00, обед 12.00-13.00"
94,Судебный участок мирового судьи Вачского судебного района Нижегородской области,Бессольнов Владимир Евгеньевич,+7 83173 6-28-92,vacha_1@msud.nnov.ru,http://vacha.nnov.msudrf.ru,"Ленина ул., д.2 р.п.Вача, 606150","8.00-17.00, обед 12.00-13.00"
95,Судебный участок мирового судьи Ветлужского судебного района Нижегородской области,Болдов Евгений Васильевич,+7 83150 2 12 55,vetl_1@msud.nnov.ru,http://vetluga.nnov.msudrf.ru,"Алешкова ул., д.64 г. Ветлуга, 606860","8.00-17.00, обед 12.00-13.00"
96,Судебный участок мирового судьи Вознесенского судебного района Нижегородской области,Афанасьев Илья Анатольевич,+7 83178 6-27-71,vozn_1@msud.nnov.ru,http://vozn.nnov.msudrf.ru,"Водопроводная ул., д.2а р.п. Вознесенское, 607340","8.00-17.00, обед 12.00-13.00"
